Sectores de Actividade,N.. Partic. (1 ) SCR,Valor SCR,% SCR,N.. Partic. (1 ) FCR,Valor FCR,% FCR,N.. Partic. (1 ) Total,Valor Total,% Total
Agricultura. producao animal. caca. floresta e pesca,0,0,0,0,0,0,0,0,0
Industrias extractivas,0,0,0,14,58,1.85659411,14,58,1.665757202
Industrias transformadoras,21,25.5,7.124895222,308,359.4,11.50448143,329,384.9,11.05430943
Eletricidade. gas. vapor. agua quente e fria e ar frio,4,1.6,0.4470522492,13,124.1,3.972471191,17,125.7,3.610097935
Captacao. tratamento e distribuicao de agua; saneamento. gestao de residuos e despoluicao,2,19,5.30874546,3,11.5,0.3681177977,5,30.5,0.8759585284
Construcao,1,10,2.794076558,19,72.2,2.311139565,20,82.2,2.360780034
Comercio por grosso e a retalho; reparacao de veiculos automoveis e motociclos,4,0.9,0.2514668902,78,144.9,4.638284251,82,145.8,4.187368965
Transportes e armazenagem,1,171.4,47.8904722,25,35.9,1.149167734,26,207.3,5.953645998
Alojamento. restauracao e similares,3,1.6,0.4470522492,63,345.5,11.05953905,66,347.1,9.968695253
Atividades de informacao e de comunicacao,15,3.1,0.8661637329,156,95.2,3.04737516,171,98.3,2.823171257
Atividades financeiras e de seguros,54,111.7,31.20983515,38,111.5,3.569142125,92,223.2,6.410293231
SGPS - nao financeiras,11,6.9,1.927912825,252,1284.8,41.12676056,263,1291.7,37.09756168
Atividades imobiliarias,4,2.1,0.5867560771,35,230.7,7.384763124,39,232.8,6.686004768
Atividades de consultoria. cientificas. tecnicas e similares,17,2.8,0.7823414362,185,185.1,5.925096031,202,187.9,5.396478934
Atividades administrativas e dos servicos de apoio,4,0.1,0.02794076558,40,35.7,1.142765685,44,35.8,1.028174273
Administracao Publica e Defesa; Seguranca Social Obrigatoria,0,0,0,0,0,0,0,0,0
Educacao,3,0.3,0.08382229673,0,0,0,3,0.3,0.008615985525
Atividades de saude humana e apoio social,3,0.8,0.2235261246,6,6,0.1920614597,9,6.8,0.1952956719
Atividades artisticas. de espetaculos. desportivas e recreativas,0,0,0,14,23.2,0.742637644,14,23.2,0.6663028806
Outras atividades de servicos,1,0.1,0.02794076558,1,0.3,0.009603072983,2,0.4,0.0114879807
Atividades das familias empregadoras de pessoal domestico e atividades de producao das familias para uso proprio,0,0,0,0,0,0,0,0,0
Atividades dos organismos internacionais e outras instituicoes extra-territoriais,0,0,0,0,0,0,0,0,0
Total,148,357.9,100,1250,3124,100,1398,3481.9,100