,Quota de Mercado Global 2014,Quota de Mercado (SCR) 2014,Quota de Mercado (FCR) 2014,N.. FCR Geridos 2014,Dimensao Media FCR 2014 (10^6 Euro),N.. FCR Geridos 2013,Dimensao Media FCR 2013 (10^6 Euro),D Dimensao Media FCR 2014/2013
Blue Catching - SCR. SA,0.00%,0.00%,0.00%,0,,0,,
BPI Private Equity - SCR. SA,0.90%,6.80%,0.00%,0,,0,,
Patris Gestao de Activos - SGFIM. SA,0.80%,0.00%,0.90%,2,15.9,3,9.5,68.10%
Espirito Santo Capital - SCR. SA,4.70%,11.60%,3.70%,3,42.3,3,43.6,-2.90%
Caixa Capital - SCR. SA,12.70%,9.30%,13.20%,4,114.2,4,102.8,11.00%
Caixa Central de Credito Agricola Mutuo. CRL,0.10%,0.00%,0.10%,1,2.2,1,2.3,-4.60%
Portugal Capital Ventures. SCR,6.40%,9.70%,5.90%,16,12.8,20,10.2,25.30%
BCP Capital - SCR. SA,1.30%,2.00%,1.20%,2,20.7,1,0.1,15923.90%
Novabase Capital - SCR. SA,0.50%,1.30%,0.40%,2,7,2,7.4,-5.90%
Change Partners - SCR. SA,0.50%,1.30%,0.40%,2,7.5,3,5.4,38.80%
Drive - SCR. SA,0.00%,0.30%,0.00%,0,,0,,
Gepasa - SCR. SA,0.00%,0.00%,0.00%,0,,0,,
Finpro. SCR. SA,5.70%,42.20%,0.00%,0,,0,,
FamiGeste - SCR. SA,0.00%,0.40%,0.00%,0,,0,,
Explorer Investments - SCR. SA,6.50%,2.30%,7.20%,4,62.2,4,46.7,33.10%
Banif Capital - SCR. SA,1.70%,4.60%,1.30%,3,14.6,4,17.9,-18.60%
ISQ - SCR. SA,0.30%,0.10%,0.30%,4,2.9,4,2.6,11.00%
Beta - SCR. SA,0.20%,0.70%,0.10%,2,1.3,2,1.3,-3.60%
ONETIER PARTNERS SCR. SA,0.00%,0.20%,0.00%,0,,0,,
Agrocapital - SCR. SA,0.40%,0.20%,0.40%,1,14.5,1,14.7,-1.60%
Espirito Santo Ventures - SCR. SA,4.60%,1.30%,5.10%,6,29.3,6,31.3,-6.40%
Centro Venture - SCR. SA,0.00%,0.10%,0.00%,0,,0,,
ECS - SCR. SA,32.30%,2.00%,37.00%,3,426.4,3,425.5,0.20%
Naves - SCR. SA,0.00%,0.30%,0.00%,0,,0,,
MNF Gestao de Activos - SGFIM. SA,0.10%,0.00%,0.10%,2,1.4,1,1.3,11.40%
2BPARTNER - SCR. SA,0.10%,0.30%,0.10%,1,2.5,1,1.3,99.10%
Critical Ventures - SCR. SA,0.20%,0.00%,0.20%,1,6.5,1,4.4,47.10%
Capital Criativo - SCR. SA,1.20%,0.70%,1.20%,2,21.4,2,15.1,41.80%
Bem Comum. SCR,0.00%,0.10%,0.00%,1,0.9,1,0.2,403.80%
Inter Risco - SCR. SA,1.40%,0.40%,1.50%,3,17.3,3,18.8,-7.90%
Biz Capital - SCR. SA,0.10%,0.00%,0.10%,1,4.6,1,0,1501697.20%
Oxy Capital - SCR. SA,16.90%,1.60%,19.30%,4,166.5,2,150.3,10.80%
Erigo - SCR. SA ,0.10%,0.00%,0.10%,1,2.6,1,3.6,-26.60%
Global Reach Investments - SCR. SA,0.00%,0.00%,0.00%,0,,0,,
Azimuth Investments. SCR. SA,0.00%,0.00%,0.00%,0,,0,,
Vallis Capital Partners - SCR. SA,0.00%,0.00%,0.00%,0,,0,,
Menlo Capital - SCR. SA,0.20%,0.20%,0.20%,1,5.3,0,,
Atena Equity Partners - Sociedade de Capital de Risco. SA,0.00%,0.00%,0.00%,1,0.1,0,,
Total,99.90%,100.00%,100.00%,73,47.3,74,40,15183.445