,SCR,D 2014/2013,FCR,D 2014/2013,Total,D 2014/2013
Valor dos Investimentos,358.2,"20,1%",3124.1,"22,2%",3482.3,"15,9%"
Participacoes Sociais (acoes e quotas),255.2,"-35,1%",788.2,"16,9%",1043.4,"-2,3%"
Em Empresas Residentes,48.6,"-32,2%",593.6,"15,7%",642.2,"9,8%"
Em Empresas Nao Residentes,206.6,"-35,7%",194.6,"20,6%",401.2,"-16,9%"
Outros Investimentos (1 ),14.6,"-73,7%",2292.4,"21,8%",2307,"19,1%"
Em Empresas Residentes,12.3,"-61,7%",2288.6,"21,8%",2300.9,"20,4%"
Em Empresas Nao Residentes,2.3,"-90,3%",3.8,"4,1%",6.1,"-77,4%"
Investimento em UP de FCR,88.4,"52,0%",43.5,"105,4%",131.9,"66,3%"
Depositos e Outros Meios Liquidos Afectos a CR,128.5,"45,3%",301,"4,4%",429.5,"14,0%"
Outros (2 ),51.8,"27,0%",29.5,"75,5%",81.3,"-49,6%"
Total,538.5,"-15,3%",3454.6,"15,7%",3993.1,"10,2%"